hotel_name,url_short,other_rating
Hotel Regina,https://www.hotels.com/ho174616/hotel-regina-madrid-spain/,9.6
Catalonia Barcelona Plaza,https://www.hotels.com/ho282681/catalonia-barcelona-plaza-barcelona-spain/,8.2
DoubleTree by Hilton London West End,https://www.hotels.com/ho160988/doubletree-by-hilton-london-west-end-london-united-kingdom/,7.6
Clayton Hotel Chiswick,https://www.hotels.com/ho246296/clayton-hotel-chiswick-london-united-kingdom/,8.8
Hotel Cavendish,https://www.hotels.com/ho230539/cavendish-hotel-eastbourne-united-kingdom/,6.6
Room Mate Aitana,https://www.hotels.com/ho437565/room-mate-aitana-amsterdam-netherlands/,9.0
DoubleTree by Hilton London Islington,https://www.hotels.com/ho183152/doubletree-by-hilton-london-angel-kings-cross-london-united-kingdom/,8.4
The Square Milano Duomo,https://www.hotels.com/ho479808/the-square-milano-duomo-milan-italy/,9.0
Barcelona Princess,https://www.hotels.com/ho225854/hotel-barcelona-princess-barcelona-spain/,8.4
Hilton London Bankside,https://www.hotels.com/ho540178/hilton-london-bankside-london-united-kingdom/,9.4
The RE London Shoreditch,https://www.hotels.com/ho49793152/the-hoxton-shoreditch-london-united-kingdom/,8.8
Hilton London Olympia,https://www.hotels.com/ho114655/hilton-london-olympia-london-united-kingdom/,7.2
Radisson Blu Edwardian Bloomsbury Street,https://www.hotels.com/ho122788/radisson-blu-edwardian-bloomsbury-street-hotel-london-london-united-kingdom/,8.6
Hotel Stefanie,https://www.hotels.com/ho465875/alpenhotel-stefanie-schwendau-austria/,8.6
Millennium Copthorne Hotels at Chelsea Football Club,https://www.hotels.com/ho153415/millennium-copthorne-hotels-at-chelsea-football-club-london-united-kingdom/,8.0
INK Hotel Amsterdam MGallery by Sofitel,https://www.hotels.com/ho124614/ink-hotel-amsterdam-mgallery-amsterdam-netherlands/,9.2
New Linden Hotel,https://www.hotels.com/ho163531/new-linden-london-united-kingdom/,7.2
Hyatt Regency Paris Etoile,https://www.hotels.com/ho115011/hyatt-regency-paris-etoile-paris-france/,8.4
Royal Garden Hotel,https://www.hotels.com/ho105991/royal-garden-hotel-london-united-kingdom/,8.8
Inntel Hotels Amsterdam Centre,https://www.hotels.com/ho127286/inntel-hotels-amsterdam-centre-amsterdam-netherlands/,8.6
Hotel Barcelona Catedral,https://www.hotels.com/ho677056/hotel-barcelona-catedral-barcelona-spain/,9.0
Courthouse Hotel London,https://www.hotels.com/ho220858/courthouse-hotel-london-united-kingdom/,7.2
Thistle Kensington Gardens,https://www.hotels.com/ho225005/thistle-london-hyde-park-kensington-gardens-london-united-kingdom/,7.8
Mercure Amsterdam Sloterdijk Station,https://www.hotels.com/ho263084/park-plaza-amsterdam-airport-lijnden-netherlands/,8.2
Park Avenue Baker Street,https://www.hotels.com/ho182040/park-avenue-baker-street-london-united-kingdom/,7.6
Mayflower Hotel Apartments,https://www.hotels.com/ho174409/mayflower-hotel-and-apartments-london-united-kingdom/,7.6
Pullman Paris Tour Eiffel,https://www.hotels.com/ho163375/pullman-paris-tour-eiffel-paris-france/,8.6
The Mandeville Hotel,https://www.hotels.com/ho114196/the-mandeville-hotel-london-united-kingdom/,8.6
Hotel SB Icaria Barcelona,https://www.hotels.com/ho225878/hotel-sb-icaria-barcelona-barcelona-spain/,8.2
citizenM London Shoreditch,https://www.hotels.com/ho510497376/citizenm-london-shoreditch-london-united-kingdom/,9.2
Barcel Sants,https://www.hotels.com/ho2497249504/sonder-paseo-de-gracia-barcelona-spain/,9.2
Arbor Hyde Park,https://www.hotels.com/ho151418/signature-townhouse-hyde-park-london-united-kingdom/,7.6
Holiday Inn London Regent s Park,https://www.hotels.com/ho124179/holiday-inn-london-regent-s-park-london-united-kingdom/,8.2
Best Western Mornington Hotel Hyde Park,https://www.hotels.com/ho168099/best-western-mornington-hotel-london-hyde-park-london-united-kingdom/,7.8
Park Grand London Hyde Park,https://www.hotels.com/ho211994/park-grand-london-hyde-park-london-united-kingdom/,7.2
BEST WESTERN Maitrise Hotel Maida Vale,https://www.hotels.com/ho325230/maitrise-hotel-maida-vale-london-united-kingdom/,6.8
Gainsborough Hotel,https://www.hotels.com/ho242908/gainsborough-house-hotel-kidderminster-united-kingdom/,8.0
Avenida Palace,https://www.hotels.com/ho115877/el-avenida-palace-hotel-barcelona-spain/,8.8
Expo Hotel Barcelona,https://www.hotels.com/ho106325/expo-hotel-barcelona-barcelona-spain/,7.8
The Exhibitionist Hotel,https://www.hotels.com/ho119903/the-exhibitionist-hotel-london-united-kingdom/,8.4
Apollo Hotel Amsterdam,https://www.hotels.com/ho163076/apollo-hotel-amsterdam-a-tribute-portfolio-hotel-amsterdam-netherlands/,8.6
Hilton London Tower Bridge,https://www.hotels.com/ho247121/hilton-london-tower-bridge-london-united-kingdom/,9.0
The May Fair Hotel,https://www.hotels.com/ho106180/the-may-fair-a-radisson-collection-hotel-mayfair-london-london-united-kingdom/,8.6
Megaro Hotel,https://www.hotels.com/ho317515/megaro-hotel-london-united-kingdom/,8.8
The Waldorf Hilton,https://www.hotels.com/ho114519/the-waldorf-hilton-london-london-united-kingdom/,8.4
Ayre Hotel Gran V a,https://www.hotels.com/ho457350/hostal-aslyp-114-barcelona-spain/,9.2
NH Collection Amsterdam Barbizon Palace,https://www.hotels.com/ho113690/nh-collection-amsterdam-barbizon-palace-amsterdam-netherlands/,8.8
art otel Amsterdam,https://www.hotels.com/ho2303066304/amsterdam-boutique-hotel-dixcove-ghana/,9.2
Petit Palace Boqueria Garden,https://www.hotels.com/ho242689/petit-palace-boqueria-garden-barcelona-spain/,9.0
Amba Hotel Charing Cross,https://www.hotels.com/ho225288/the-clermont-london-charing-cross-london-united-kingdom/,9.2
Arbor City,https://www.hotels.com/ho203661/arbor-city-hotel-london-united-kingdom/,8.2
NH City Centre Amsterdam,https://www.hotels.com/ho134757/nh-city-centre-amsterdam-amsterdam-netherlands/,8.8
Twenty Nevern Square Hotel,https://www.hotels.com/ho187320/twenty-nevern-square-hotel-london-united-kingdom/,8.4
Rafayel Hotel Spa,https://www.hotels.com/ho474913/rafayel-on-the-left-bank-london-united-kingdom/,7.6
Olivia Plaza Hotel,https://www.hotels.com/ho237454/olivia-plaza-hotel-barcelona-spain/,9.0
Mercure Paris Centre Tour Eiffel,https://www.hotels.com/ho183323/mercure-paris-centre-tour-eiffel-paris-france/,8.0
Ambassadors Bloomsbury,https://www.hotels.com/ho206451/ambassadors-bloomsbury-london-united-kingdom/,7.6
Radisson Blu Edwardian Mercer Street,https://www.hotels.com/ho122651/radisson-blu-edwardian-mercer-street-hotel-london-london-united-kingdom/,9.4
Rubens At The Palace,https://www.hotels.com/ho114179/the-rubens-at-the-palace-london-united-kingdom/,9.0
Royal Passeig de Gracia,https://www.hotels.com/ho433254/hotel-royal-passeig-de-gracia-barcelona-spain/,8.8
Malmaison London,https://www.hotels.com/ho216064/malmaison-london-london-united-kingdom/,8.6
K West Hotel Spa,https://www.hotels.com/ho185937/k-west-hotel-spa-london-united-kingdom/,8.0
The Hoxton Holborn,https://www.hotels.com/ho266481024/the-hoxton-holborn-london-united-kingdom/,8.8
London Marriott Hotel Regents Park,https://www.hotels.com/ho107002/london-marriott-hotel-regents-park-london-united-kingdom/,8.8
Hampshire Hotel Rembrandt Square Amsterdam,https://www.hotels.com/ho263084/park-plaza-amsterdam-airport-lijnden-netherlands/,8.2
Best Western Plus Seraphine Hammersmith Hotel,https://www.hotels.com/de549499/hotels-london-united-kingdom/,8.2
London City Suites,https://www.hotels.com/ho427926/barbican-rooms-london-united-kingdom/,8.4
Holiday Inn London Camden Lock,https://www.hotels.com/ho215788/holiday-inn-london-camden-lock-london-united-kingdom/,8.8
Rosa Grand Milano Starhotels Collezione,https://www.hotels.com/ho114667/rosa-grand-milano-starhotels-collezione-milan-italy/,8.8
The Grand at Trafalgar Square,https://www.hotels.com/ho249676/the-grand-at-trafalgar-square-london-united-kingdom/,8.6
Fielding Hotel,https://www.hotels.com/ho921258848/the-fielding-hotel-london-united-kingdom/,8.6
Leonardo Hotel Vienna,https://www.hotels.com/ho178975/leonardo-hotel-vienna-vienna-austria/,8.0
Saint Georges Hotel,https://www.hotels.com/ho211452/treehouse-hotel-london-london-united-kingdom/,8.8
Royal Ramblas,https://www.hotels.com/ho109978/royal-ramblas-barcelona-spain/,8.8
Montcalm Royal London House City of London,https://www.hotels.com/ho407522080/montcalm-royal-london-house-city-of-london-london-united-kingdom/,8.6
Austria Trend Hotel Savoyen Vienna,https://www.hotels.com/ho365928/austria-trend-hotel-savoyen-vienna-vienna-austria/,9.0
Hotel 82 London,https://www.hotels.com/ho294522/msk-hotel-london-united-kingdom/,6.8
The Rembrandt,https://www.hotels.com/ho114186/the-rembrandt-london-united-kingdom/,8.8
Pestana Chelsea Bridge Hotel Spa,https://www.hotels.com/ho339422/pestana-chelsea-bridge-hotel-spa-london-united-kingdom/,8.8
Thistle Holborn The Kingsley,https://www.hotels.com/ho105506/thistle-holborn-london-united-kingdom/,8.4
Holiday Inn London West,https://www.hotels.com/ho220136/holiday-inn-london-west-an-ihg-hotel-london-united-kingdom/,8.0
Saint James Albany Paris Hotel Spa,https://www.hotels.com/ho180236/ibis-paris-la-defense-esplanade-courbevoie-france/,7.6
Washington Mayfair Hotel,https://www.hotels.com/ho109081/washington-mayfair-hotel-london-united-kingdom/,7.4
Radisson Blu Edwardian Hampshire,https://www.hotels.com/ho122650/radisson-blu-edwardian-hampshire-hotel-london-london-united-kingdom/,9.0
Grange Tower Bridge Hotel,https://www.hotels.com/ho379048/leonardo-royal-london-tower-bridge-london-united-kingdom/,8.2
DoubleTree by Hilton London Ealing,https://www.hotels.com/ho130697/doubletree-by-hilton-london-ealing-hotel-london-united-kingdom/,8.4
The Hoxton Shoreditch,https://www.hotels.com/ho49793152/the-hoxton-shoreditch-london-united-kingdom/,8.8
The Marylebone Hotel,https://www.hotels.com/ho120639/the-marylebone-hotel-london-united-kingdom/,9.0
NH Collection Milano President,https://www.hotels.com/ho116063/nh-collection-milano-president-milan-italy/,8.8
Hotel Espa a Ramblas,https://www.hotels.com/ho125081/citadines-ramblas-barcelona-barcelona-spain/,8.4
Innkeeper s Lodge London Greenwich,https://www.hotels.com/ho622214/tavistock-hotel-london-united-kingdom/,7.6
Fleming s Selection Hotel Wien City,https://www.hotels.com/ho352786/flemings-selection-hotel-wien-city-vienna-austria/,8.8
Hilton London Angel Islington,https://www.hotels.com/ho191798/hilton-london-angel-islington-london-united-kingdom/,8.4
Boutique Hotel Notting Hill,https://www.hotels.com/ho220965/gateway-on-monash-boutique-hotel-syndal-australia/,8.6
Melia White House Hotel,https://www.hotels.com/ho105992/melia-white-house-hotel-london-united-kingdom/,8.0
Starhotels Ritz,https://www.hotels.com/ho117433/starhotels-ritz-milan-italy/,8.6
Lancaster London,https://www.hotels.com/ho105995/royal-lancaster-london-london-united-kingdom/,9.0
NH Milano Touring,https://www.hotels.com/ho116064/nh-milano-touring-milan-italy/,8.6
Sunotel Central,https://www.hotels.com/ho258508/sunotel-central-barcelona-spain/,7.6
Park Hotel,https://www.hotels.com/ho682425/park-hotel-kenmare-kenmare-ireland/,9.6
Mercure London Paddington Hotel,https://www.hotels.com/ho163518/mercure-london-paddington-london-united-kingdom/,7.0
Hotel Michelangelo,https://www.hotels.com/ho263906/hotel-michelangelo-bucharest-romania/,8.2
Great Northern Hotel A Tribute Portfolio Hotel London,https://www.hotels.com/ho429173/great-northern-hotel-a-tribute-portfolio-hotel-london-london-united-kingdom/,8.6
Ilunion Barcelona,https://www.hotels.com/ho265233/hotel-ilunion-barcelona-barcelona-spain/,8.4
Best Western Plus Hotel Galles,https://www.hotels.com/ho178782/hotel-galles-milan-italy/,8.6
Hotel Dei Cavalieri,https://www.hotels.com/ho129606/hotel-dei-cavalieri-milan-italy/,8.2
Axel Hotel Barcelona Urban Spa Adults Only,https://www.hotels.com/ho219325/axel-hotel-barcelona-urban-spa-adults-only-barcelona-spain/,8.4
Mercure London Bloomsbury Hotel,https://www.hotels.com/ho132189/mercure-london-bloomsbury-london-united-kingdom/,8.0
The Nadler Victoria,https://www.hotels.com/ho545888/the-resident-victoria-london-united-kingdom/,9.4
Hotel Erzherzog Rainer,https://www.hotels.com/ho1687680/hotel-erzherzog-rainer-vienna-austria/,9.0
Fletcher Hotel Amsterdam,https://www.hotels.com/ho421690/fletcher-hotel-amsterdam-amsterdam-netherlands/,7.8
Ayre Hotel Caspe,https://www.hotels.com/ho219830/ayre-hotel-caspe-barcelona-spain/,8.6
Danubius Hotel Regents Park,https://www.hotels.com/ho169896/danubius-hotel-regents-park-london-united-kingdom/,8.0
Park Plaza Vondelpark Amsterdam,https://www.hotels.com/ho125724/park-plaza-vondelpark-amsterdam-netherlands/,9.4
Starhotels Echo,https://www.hotels.com/ho114663/starhotels-e-c-ho-milan-italy/,9.0
Park Plaza Sherlock Holmes London,https://www.hotels.com/ho177781/holmes-hotel-london-london-united-kingdom/,9.2
Crowne Plaza London Battersea,https://www.hotels.com/ho274730/crowne-plaza-london-battersea-london-united-kingdom/,8.8
The Westbridge Hotel,https://www.hotels.com/ho495079/the-westbridge-hotel-london-united-kingdom/,8.8
W Barcelona,https://www.hotels.com/ho311651/w-barcelona-barcelona-spain/,8.4
Novotel London Excel,https://www.hotels.com/ho217919/novotel-london-excel-london-united-kingdom/,8.6
Radisson Blu Edwardian Sussex,https://www.hotels.com/ho122648/radisson-blu-edwardian-sussex-hotel-london-london-united-kingdom/,8.0
Hotel Best Western PLUS Alfa Aeropuerto,https://www.hotels.com/ho209468/best-western-plus-hotel-alfa-aeropuerto-barcelona-spain/,8.4
Senator Barcelona Spa Hotel,https://www.hotels.com/ho286840/aparthotel-senator-barcelona-barcelona-spain/,7.2
every hotel Piccadilly,https://www.hotels.com/ho114929/thistle-piccadilly-london-united-kingdom/,8.6
Bilderberg Garden Hotel,https://www.hotels.com/ho125571/bilderberg-garden-hotel-amsterdam-netherlands/,8.2
Novotel Paris Gare De Lyon,https://www.hotels.com/ho143802/novotel-paris-gare-de-lyon-paris-france/,8.6
K K Hotel Maria Theresia,https://www.hotels.com/ho170538/k-k-hotel-maria-theresia-vienna-austria/,8.8
Hotel City Central,https://www.hotels.com/ho1168960/hotel-city-central-vienna-austria/,8.8
The Marble Arch London,https://www.hotels.com/ho265214/the-montcalm-london-marble-arch-london-united-kingdom/,8.4
Hilton Vienna,https://www.hotels.com/ho193922/hilton-vienna-park-vienna-austria/,8.0
The Langham London,https://www.hotels.com/ho125372/the-langham-london-london-united-kingdom/,9.4
Park Grand London Lancaster Gate,https://www.hotels.com/ho238167/park-grand-london-lancaster-gate-london-united-kingdom/,8.2
Radisson Blu Edwardian Berkshire,https://www.hotels.com/ho122645/radisson-blu-edwardian-berkshire-hotel-london-london-united-kingdom/,8.4
The Rockwell,https://www.hotels.com/ho296058/the-rockwell-london-united-kingdom/,8.6
Park Plaza London Waterloo,https://www.hotels.com/ho591705/park-plaza-london-waterloo-london-united-kingdom/,8.6
Barcel Raval,https://www.hotels.com/ho418949/sonder-vasanta-barcelona-spain/,9.2
Ambassade Hotel,https://www.hotels.com/ho282862/ambassade-hotel-amsterdam-netherlands/,9.6
DoubleTree by Hilton London Chelsea,https://www.hotels.com/ho455229/doubletree-by-hilton-hotel-london-chelsea-london-united-kingdom/,8.4
The Chelsea Harbour Hotel,https://www.hotels.com/ho136493/the-chelsea-harbour-hotel-and-spa-london-united-kingdom/,8.2
Austria Trend Hotel Ananas Wien,https://www.hotels.com/ho132385/austria-trend-hotel-ananas-vienna-austria/,7.8
